Count,Package ID,DOI,Upload Date-Time
1,knb-lter-nes.1.1,doi:10.6073/pasta/8f9188936b08ef7cbe84ce3077487d6a,2018-06-21 10:09:11
2,knb-lter-nes.1.2,doi:10.6073/pasta/f7204a847a1d71fce18ed880363e62f8,2018-06-21 12:33:10
3,knb-lter-nes.2.1,doi:10.6073/pasta/2c73b8845ddfe36fc1647f886bbd01d2,2019-10-15 09:55:45
4,knb-lter-nes.2.2,doi:10.6073/pasta/4c1ef62808519d46b14a8493616e1580,2019-10-28 12:23:16
5,knb-lter-nes.3.1,doi:10.6073/pasta/db87adc18bdb57b618ad067cc918735c,2019-10-28 12:32:20
6,knb-lter-nes.5.1,doi:10.6073/pasta/d0fb2b369aee56e0e60bb796c698c9e9,2019-11-15 11:57:00
7,knb-lter-nes.4.1,doi:10.6073/pasta/ef03b9f0d7acf5a6ac532eff09f448fd,2019-12-10 09:27:25
8,knb-lter-nes.9.1,doi:10.6073/pasta/74775c4af51c237f2a20e4a8c011bc53,2020-05-26 09:18:09
9,knb-lter-nes.10.1,doi:10.6073/pasta/62befe25be8a69fe41f9e746a67076b8,2020-06-01 09:01:37
10,knb-lter-nes.8.1,doi:10.6073/pasta/798bda0e9ddfeba20f2266e64cf4dd40,2021-07-09 14:35:24
11,knb-lter-nes.11.1,doi:10.6073/pasta/adb6741bb880ec450dc8fc333ce6bdf8,2021-09-20 09:42:15
12,knb-lter-nes.4.2,doi:10.6073/pasta/ec6e5c76c7ad4e0da0a8d1cec84fa3f5,2021-12-14 14:30:15
13,knb-lter-nes.6.1,doi:10.6073/pasta/d0e156b893c9a2fd0e6b545855d16e27,2022-01-13 12:21:05
14,knb-lter-nes.7.1,doi:10.6073/pasta/5adac3694d4d67617ed2139fa094e25a,2022-01-13 12:25:49
15,knb-lter-nes.13.1,doi:10.6073/pasta/338f44388927009ac97242794edaafae,2022-01-13 12:28:51
16,knb-lter-nes.14.1,doi:10.6073/pasta/b511e2a0865a2beb8a0bbd4f7ce0166d,2022-01-13 12:31:19
17,knb-lter-nes.15.1,doi:10.6073/pasta/90873107afee6c434d647bc52285d5fe,2022-01-13 12:33:55
18,knb-lter-nes.2.3,doi:10.6073/pasta/e48fef01a8bb7ae3c443d57de83bed2e,2022-03-07 12:13:13
19,knb-lter-nes.12.1,doi:10.6073/pasta/16c8e5937a860c882b524fda73408baf,2022-03-25 12:06:48
20,knb-lter-nes.16.1,doi:10.6073/pasta/82182159d6d96d1bcff8af93ca2e0b69,2022-04-06 10:01:28
21,knb-lter-nes.18.1,doi:10.6073/pasta/665ddfc326826df5740eca24194529fe,2022-05-09 07:48:26
22,knb-lter-nes.1.3,doi:10.6073/pasta/ca34be7554ddc67c9fa0f8dea01f375b,2022-06-08 12:41:20
23,knb-lter-nes.19.1,doi:10.6073/pasta/39204d815ba43171684765405fa56d89,2022-06-09 14:28:06
24,knb-lter-nes.19.2,doi:10.6073/pasta/7fd3a9b61626bc0647b041e9f8340fd5,2022-06-27 12:25:43
